run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3763,0.6440,0.6575,0.9330,0.8714,0.8674,906.5745,906.5745,906.5745,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.6015,0.8371,0.8582,0.9092,0.8522,0.8477,464.2018,464.2018,464.2018,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.7089,0.9246,0.9459,0.8966,0.8437,0.8376,413.4977,413.4977,413.4977,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.7370,0.9524,0.9746,0.8927,0.8400,0.8347,385.6776,385.6776,385.6776,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.7379,0.9655,0.9889,0.8901,0.8366,0.8300,360.1688,360.1688,360.1688,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.8774,1.0805,1.1043,0.8763,0.8259,0.8211,319.0305,319.0305,319.0305,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.9699,1.1658,1.1907,0.8644,0.8150,0.8115,282.6406,282.6406,282.6406,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.0499,1.2423,1.2686,0.8545,0.8057,0.8020,252.4092,252.4092,252.4092,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.0925,1.2924,1.3189,0.8389,0.7893,0.7834,227.4998,227.4998,227.4998,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.2135,1.4072,1.4328,0.8175,0.7709,0.7642,198.1440,198.1440,198.1440,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.3869,1.5643,1.5890,0.7889,0.7479,0.7437,166.7138,166.7138,166.7138,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.5705,1.7392,1.7619,0.7548,0.7194,0.7126,138.3153,138.3153,138.3153,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.7786,1.9388,1.9592,0.7171,0.6847,0.6800,111.5232,111.5232,111.5232,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.9391,2.0982,2.1153,0.6733,0.6416,0.6378,91.7433,91.7433,91.7433,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.2174,2.3683,2.3819,0.6181,0.5882,0.5848,67.9574,67.9574,67.9574,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.3460,2.4987,2.5098,0.5635,0.5304,0.5257,55.5580,55.5580,55.5580,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.5348,2.6856,2.6950,0.5065,0.4582,0.4546,42.7300,42.7300,42.7300,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.7809,2.9169,2.9260,0.4686,0.4248,0.4213,29.7485,29.7485,29.7485,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.9434,3.0646,3.0741,0.4216,0.3861,0.3779,22.2915,22.2915,22.2915,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.2258,3.3078,3.3179,0.3373,0.3285,0.3231,12.1972,12.1972,12.1972,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.3787,3.4410,3.4512,0.2858,0.2832,0.2763,7.5509,7.5509,7.5509,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.5281,3.5702,3.5797,0.2328,0.2406,0.2397,3.9143,3.9143,3.9143,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5832,3.6193,3.6278,0.1851,0.1888,0.1865,2.8725,2.8725,2.8725,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6181,3.6504,3.6586,0.1631,0.1677,0.1654,2.2575,2.2575,2.2575,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6312,3.6618,3.6693,0.1631,0.1677,0.1654,2.0696,2.0696,2.0696,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6456,3.6740,3.6806,0.1631,0.1677,0.1654,1.8965,1.8965,1.8965,14.0000,14.0000,14.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6645,3.6904,3.6962,0.1631,0.1677,0.1654,1.7057,1.7057,1.7057,15.0000,15.0000,15.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7099,3.7317,3.7361,0.1631,0.1677,0.1654,1.3473,1.3473,1.3473,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7419,3.7602,3.7638,0.1631,0.1677,0.1654,1.1336,1.1336,1.1336,15.0000,15.0000,15.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7809,3.7954,3.7983,0.1631,0.1677,0.1654,0.9156,0.9156,0.9156,16.0000,16.0000,16.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8473,3.8568,3.8586,0.1631,0.1677,0.1654,0.5987,0.5987,0.5987,15.0000,15.0000,15.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9459,3.9492,3.9498,0.1631,0.1677,0.1654,0.2047,0.2047,0.2047,12.0000,12.0000,12.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9864,3.9871,3.9872,0.1631,0.1677,0.1654,0.0695,0.0695,0.0695,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9980,3.9980,3.9981,0.1631,0.1677,0.1654,0.0306,0.0306,0.0306,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9993,3.9993,0.1631,0.1677,0.1654,0.0263,0.0263,0.0263,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.2177,0.2127,0.2045,0.0258,0.0258,0.0258,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9997,0.1680,0.1687,0.1680,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1799,0.1791,0.1791,0.0257,0.0257,0.0257,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1984,0.1933,0.1921,0.0242,0.0242,0.0242,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9998,3.9999,3.9999,0.1620,0.1653,0.1628,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.0933,0.0909,0.0895,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.1084,0.0894,0.0891,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.1020,0.0925,0.0975,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1618,0.1650,0.1628,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1707,0.1800,0.1735,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,4.0000,4.0000,4.0000,0.1137,0.1136,0.1134,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0575,0.0552,0.0524,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.1103,0.1099,0.1190,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,4.0000,4.0000,4.0000,0.0680,0.0561,0.0555,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.0641,0.0617,0.0616,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
