run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.7382,0.8767,0.8527,0.8455,0.8127,0.8205,401.7284,401.7284,401.7284,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.8897,1.0126,0.9918,0.8285,0.7975,0.8047,271.5016,271.5016,271.5016,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.1204,1.2328,1.2138,0.7976,0.7669,0.7739,203.9906,203.9906,203.9906,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.0860,1.1987,1.1801,0.8030,0.7724,0.7797,207.2746,207.2746,207.2746,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.8984,1.0172,1.0002,0.8313,0.8005,0.8072,253.8104,253.8104,253.8104,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.2281,1.3339,1.3177,0.7863,0.7568,0.7632,172.7748,172.7748,172.7748,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.2649,1.3679,1.3528,0.7834,0.7540,0.7612,163.8481,163.8481,163.8481,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.2626,1.3645,1.3502,0.7842,0.7540,0.7622,161.2709,161.2709,161.2709,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.0944,1.1991,1.1866,0.8088,0.7805,0.7875,188.1905,188.1905,188.1905,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.1582,1.2591,1.2480,0.7985,0.7713,0.7784,172.8355,172.8355,172.8355,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.3377,1.4323,1.4223,0.7689,0.7429,0.7487,141.0927,141.0927,141.0927,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.5051,1.5920,1.5842,0.7445,0.7203,0.7246,117.8297,117.8297,117.8297,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.6958,1.7741,1.7692,0.7202,0.6965,0.7009,96.3912,96.3912,96.3912,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.7507,1.8274,1.8238,0.7072,0.6840,0.6869,89.5029,89.5029,89.5029,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.0219,2.0920,2.0894,0.6682,0.6470,0.6517,67.6543,67.6543,67.6543,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.0448,2.1158,2.1129,0.6599,0.6384,0.6436,64.8942,64.8942,64.8942,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.2145,2.2817,2.2798,0.6316,0.6120,0.6176,53.6238,53.6238,53.6238,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.4796,2.5404,2.5407,0.5662,0.5455,0.5539,39.2433,39.2433,39.2433,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.6805,2.7343,2.7363,0.4974,0.4732,0.4786,30.2044,30.2044,30.2044,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,2.9973,3.0339,3.0386,0.4159,0.3961,0.4002,18.5352,18.5352,18.5352,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.2178,3.2452,3.2517,0.3403,0.3264,0.3280,11.8051,11.8051,11.8051,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.4699,3.4891,3.4977,0.2745,0.2719,0.2681,5.4239,5.4239,5.4239,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.6070,3.6229,3.6306,0.1809,0.1727,0.1719,2.7265,2.7265,2.7265,15.0000,15.0000,15.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6271,3.6431,3.6508,0.1754,0.1677,0.1654,2.1786,2.1786,2.1786,15.0000,15.0000,15.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6432,3.6587,3.6658,0.1754,0.1677,0.1654,1.9648,1.9648,1.9648,14.0000,14.0000,14.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6540,3.6693,3.6760,0.1754,0.1677,0.1654,1.8316,1.8316,1.8316,15.0000,15.0000,15.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6729,3.6876,3.6937,0.1754,0.1677,0.1654,1.6422,1.6422,1.6422,15.0000,15.0000,15.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7082,3.7209,3.7260,0.1754,0.1677,0.1654,1.3588,1.3588,1.3588,15.0000,15.0000,15.0000
