run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,1.3104,1.3721,1.3514,0.7240,0.7112,0.7181,274.2412,274.2412,274.2412,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.5039,1.5495,1.5341,0.7009,0.6911,0.6954,179.7473,179.7473,179.7473,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.8234,1.8523,1.8435,0.6566,0.6486,0.6486,120.9259,120.9259,120.9259,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.7612,1.7927,1.7832,0.6658,0.6567,0.6578,127.3770,127.3770,127.3770,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.4268,1.4753,1.4604,0.7140,0.7036,0.7112,191.8682,191.8682,191.8682,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.9026,1.9268,1.9202,0.6457,0.6388,0.6380,106.1938,106.1938,106.1938,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.9163,1.9393,1.9332,0.6423,0.6355,0.6347,103.0309,103.0309,103.0309,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.8883,1.9114,1.9055,0.6461,0.6399,0.6387,104.3408,104.3408,104.3408,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.5534,1.5906,1.5804,0.6936,0.6857,0.6896,152.4681,152.4681,152.4681,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.6180,1.6499,1.6416,0.6826,0.6747,0.6791,138.0811,138.0811,138.0811,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.8460,1.8653,1.8629,0.6469,0.6408,0.6411,102.0488,102.0488,102.0488,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,2.0171,2.0299,2.0304,0.6210,0.6150,0.6133,82.1243,82.1243,82.1243,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,2.1620,2.1711,2.1736,0.5967,0.5889,0.5882,68.0872,68.0872,68.0872,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,2.1674,2.1773,2.1800,0.5930,0.5845,0.5842,66.4243,66.4243,66.4243,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.4367,2.4426,2.4473,0.5619,0.5515,0.5540,47.0531,47.0531,47.0531,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.3481,2.3604,2.3640,0.5689,0.5576,0.5597,51.5949,51.5949,51.5949,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.4970,2.5062,2.5111,0.5299,0.5163,0.5212,42.0377,42.0377,42.0377,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.7327,2.7370,2.7449,0.4839,0.4715,0.4742,29.6962,29.6962,29.6962,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.8632,2.8656,2.8765,0.4441,0.4326,0.4328,23.6779,23.6779,23.6779,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1396,3.1370,3.1511,0.3687,0.3590,0.3579,13.7198,13.7198,13.7198,16.0000,16.0000,16.0000
