run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,3.5782,3.5799,3.5998,0.1736,0.1702,0.1701,40.4822,40.4822,40.4822,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,3.5943,3.5891,3.6081,0.1720,0.1692,0.1669,14.7711,14.7711,14.7711,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,3.6007,3.5940,3.6126,0.1706,0.1678,0.1655,10.1098,10.1098,10.1098,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,3.6018,3.5948,3.6133,0.1707,0.1678,0.1656,9.3062,9.3062,9.3062,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,3.5996,3.5929,3.6113,0.1716,0.1687,0.1664,10.2011,10.2011,10.2011,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,3.6080,3.6002,3.6183,0.1705,0.1677,0.1654,6.4722,6.4722,6.4722,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,3.6107,3.6026,3.6205,0.1705,0.1677,0.1654,5.4465,5.4465,5.4465,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,3.6133,3.6050,3.6228,0.1705,0.1677,0.1654,4.5543,4.5543,4.5543,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,3.6152,3.6068,3.6245,0.1705,0.1677,0.1654,3.9339,3.9339,3.9339,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,3.6167,3.6082,3.6258,0.1705,0.1677,0.1654,3.5684,3.5684,3.5684,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,3.6173,3.6089,3.6263,0.1705,0.1677,0.1654,3.4586,3.4586,3.4586,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,3.6178,3.6095,3.6268,0.1705,0.1677,0.1654,3.3844,3.3844,3.3844,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,3.6184,3.6102,3.6274,0.1705,0.1677,0.1654,3.3222,3.3222,3.3222,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,3.6190,3.6110,3.6280,0.1705,0.1677,0.1654,3.2549,3.2549,3.2549,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,3.6198,3.6120,3.6288,0.1705,0.1677,0.1654,3.2059,3.2059,3.2059,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,3.6207,3.6132,3.6297,0.1705,0.1677,0.1654,3.1353,3.1353,3.1353,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,3.6220,3.6147,3.6310,0.1705,0.1677,0.1654,3.0727,3.0727,3.0727,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,3.6237,3.6167,3.6326,0.1705,0.1677,0.1654,3.0052,3.0052,3.0052,16.0000,16.0000,16.0000
