run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,1.2703,1.3355,1.3192,0.7360,0.7233,0.7253,499.5024,499.5024,499.5024,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.4624,1.5167,1.5023,0.7138,0.7021,0.7057,298.8640,298.8640,298.8640,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.6984,1.7444,1.7297,0.6860,0.6731,0.6779,225.2933,225.2933,225.2933,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.6583,1.7049,1.6911,0.6903,0.6777,0.6821,227.9177,227.9177,227.9177,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.4993,1.5481,1.5378,0.7052,0.6965,0.6988,260.6614,260.6614,260.6614,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.8421,1.8810,1.8691,0.6660,0.6536,0.6595,176.7898,176.7898,176.7898,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.8891,1.9254,1.9146,0.6590,0.6462,0.6520,162.8307,162.8307,162.8307,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.9035,1.9378,1.9283,0.6553,0.6434,0.6481,154.3168,154.3168,154.3168,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.7522,1.7870,1.7799,0.6635,0.6565,0.6589,172.8115,172.8115,172.8115,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.8342,1.8649,1.8584,0.6483,0.6418,0.6424,153.1282,153.1282,153.1282,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,2.0467,2.0713,2.0650,0.6236,0.6172,0.6181,117.5022,117.5022,117.5022,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,2.2112,2.2306,2.2251,0.5966,0.5872,0.5908,94.9410,94.9410,94.9410,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,2.3987,2.4126,2.4086,0.5608,0.5487,0.5551,74.0854,74.0854,74.0854,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,2.4758,2.4863,2.4834,0.5370,0.5261,0.5320,64.4961,64.4961,64.4961,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.7465,2.7507,2.7517,0.4921,0.4782,0.4826,43.6195,43.6195,43.6195,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.7451,2.7483,2.7491,0.4698,0.4591,0.4636,41.4356,41.4356,41.4356,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.8950,2.8955,2.8973,0.4305,0.4232,0.4258,31.4818,31.4818,31.4818,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,3.1064,3.1035,3.1082,0.3759,0.3697,0.3721,20.2193,20.2193,20.2193,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,3.2239,3.2188,3.2256,0.3246,0.3189,0.3225,14.9335,14.9335,14.9335,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.4117,3.4058,3.4167,0.2614,0.2619,0.2586,8.2195,8.2195,8.2195,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.5049,3.4990,3.5118,0.2427,0.2428,0.2404,5.4533,5.4533,5.4533,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.5962,3.5908,3.6040,0.2057,0.2012,0.2034,3.2194,3.2194,3.2194,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.6403,3.6357,3.6492,0.1705,0.1677,0.1654,2.2891,2.2891,2.2891,15.0000,15.0000,15.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6553,3.6514,3.6640,0.1705,0.1677,0.1654,2.0515,2.0515,2.0515,14.0000,14.0000,14.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6658,3.6625,3.6744,0.1705,0.1677,0.1654,1.9103,1.9103,1.9103,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6945,3.6917,3.7021,0.1705,0.1677,0.1654,1.6161,1.6161,1.6161,14.0000,14.0000,14.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.7118,3.7095,3.7190,0.1705,0.1677,0.1654,1.4562,1.4562,1.4562,15.0000,15.0000,15.0000
