run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3280,0.3778,0.3782,0.9338,0.9234,0.9224,565.8784,565.8784,565.8784,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.4584,0.5046,0.5059,0.9208,0.9120,0.9096,351.1453,351.1453,351.1453,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.5228,0.5683,0.5683,0.9120,0.9025,0.9006,314.2192,314.2192,314.2192,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.5318,0.5769,0.5783,0.9121,0.9031,0.8999,302.9068,302.9068,302.9068,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.5403,0.5847,0.5883,0.9147,0.9058,0.9028,293.0948,293.0948,293.0948,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.6306,0.6741,0.6751,0.9036,0.8936,0.8926,257.8853,257.8853,257.8853,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.6868,0.7291,0.7303,0.8991,0.8885,0.8887,238.0355,238.0355,238.0355,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.7290,0.7698,0.7716,0.8956,0.8845,0.8853,223.2874,223.2874,223.2874,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.7592,0.7979,0.8017,0.8953,0.8855,0.8839,212.6860,212.6860,212.6860,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.8350,0.8708,0.8756,0.8842,0.8759,0.8732,193.5493,193.5493,193.5493,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.9585,0.9895,0.9952,0.8628,0.8562,0.8529,169.1735,169.1735,169.1735,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.0958,1.1208,1.1305,0.8462,0.8385,0.8364,146.8722,146.8722,146.8722,16.0000,16.0000,16.0000
