run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.8434,0.9036,0.8995,0.8293,0.8135,0.8128,438.3320,438.3320,438.3320,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.0892,1.1320,1.1373,0.8021,0.7874,0.7867,265.2467,265.2467,265.2467,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.4121,1.4413,1.4508,0.7597,0.7471,0.7417,185.4784,185.4784,185.4784,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.3483,1.3793,1.3891,0.7697,0.7584,0.7520,194.2760,194.2760,194.2760,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.0491,1.0939,1.0985,0.8116,0.7979,0.7951,265.3100,265.3100,265.3100,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.5170,1.5414,1.5523,0.7466,0.7358,0.7298,160.0439,160.0439,160.0439,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.5475,1.5702,1.5812,0.7421,0.7319,0.7254,152.8983,152.8983,152.8983,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.5387,1.5611,1.5720,0.7429,0.7343,0.7265,151.1612,151.1612,151.1612,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.2496,1.2818,1.2893,0.7816,0.7731,0.7666,197.6882,197.6882,197.6882,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.3406,1.3667,1.3756,0.7688,0.7607,0.7541,176.2890,176.2890,176.2890,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.5873,1.6015,1.6153,0.7331,0.7288,0.7187,133.9976,133.9976,133.9976,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.7943,1.8017,1.8160,0.6936,0.6897,0.6815,107.1496,107.1496,107.1496,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.9679,1.9717,1.9858,0.6595,0.6545,0.6497,88.1619,88.1619,88.1619,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,2.0348,2.0379,2.0502,0.6435,0.6378,0.6325,80.7098,80.7098,80.7098,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.3238,2.3233,2.3348,0.6022,0.5921,0.5863,57.8163,57.8163,57.8163,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.3277,2.3327,2.3432,0.5912,0.5795,0.5747,56.2855,56.2855,56.2855,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.4922,2.4954,2.5067,0.5567,0.5423,0.5367,45.4853,45.4853,45.4853,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.7563,2.7552,2.7687,0.5031,0.4923,0.4849,31.3604,31.3604,31.3604,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.9218,2.9169,2.9318,0.4608,0.4511,0.4439,23.8317,23.8317,23.8317,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.2071,3.1966,3.2133,0.3504,0.3451,0.3390,13.2309,13.2309,13.2309,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.3492,3.3392,3.3559,0.2892,0.2876,0.2848,8.8931,8.8931,8.8931,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.5168,3.5109,3.5264,0.2264,0.2239,0.2200,4.6676,4.6676,4.6676,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5908,3.5864,3.6007,0.1705,0.1677,0.1654,3.0551,3.0551,3.0551,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6552,3.6523,3.6642,0.1705,0.1677,0.1654,1.9692,1.9692,1.9692,15.0000,15.0000,15.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6732,3.6713,3.6822,0.1705,0.1677,0.1654,1.7604,1.7604,1.7604,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6726,3.6707,3.6814,0.1705,0.1677,0.1654,1.7248,1.7248,1.7248,15.0000,15.0000,15.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6899,3.6888,3.6986,0.1705,0.1677,0.1654,1.5503,1.5503,1.5503,14.0000,14.0000,14.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7261,3.7257,3.7339,0.1705,0.1677,0.1654,1.2629,1.2629,1.2629,15.0000,15.0000,15.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7517,3.7518,3.7588,0.1705,0.1677,0.1654,1.0895,1.0895,1.0895,15.0000,15.0000,15.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7891,3.7895,3.7951,0.1705,0.1677,0.1654,0.8769,0.8769,0.8769,15.0000,15.0000,15.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8482,3.8488,3.8526,0.1705,0.1677,0.1654,0.5896,0.5896,0.5896,15.0000,15.0000,15.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9304,3.9306,3.9322,0.1705,0.1677,0.1654,0.2622,0.2622,0.2622,16.0000,16.0000,16.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9867,3.9868,3.9871,0.1705,0.1677,0.1654,0.0681,0.0681,0.0681,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9977,3.9977,3.9978,0.1705,0.1677,0.1654,0.0318,0.0318,0.0318,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9993,3.9993,0.1705,0.1677,0.1654,0.0259,0.0259,0.0259,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.1718,0.1686,0.1654,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9997,0.1705,0.1677,0.1654,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1644,0.1644,0.1626,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1673,0.1731,0.1670,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9998,3.9998,3.9998,0.1705,0.1677,0.1654,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.1011,0.1040,0.1015,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.0776,0.0774,0.0748,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.1644,0.1588,0.1570,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1526,0.1475,0.1480,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1086,0.1095,0.1107,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,3.9999,3.9999,3.9999,0.1645,0.1627,0.1595,0.0240,0.0240,0.0240,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,3.9999,3.9999,3.9999,0.1246,0.1175,0.1192,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0522,0.0493,0.0476,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,4.0000,4.0000,4.0000,0.0869,0.0808,0.0816,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.0578,0.0576,0.0516,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
