run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.8556,0.9151,0.9111,0.8279,0.8123,0.8115,427.1202,427.1202,427.1202,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,1.0866,1.1300,1.1349,0.8020,0.7872,0.7863,266.0552,266.0552,266.0552,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,1.3963,1.4263,1.4362,0.7602,0.7483,0.7428,188.6875,188.6875,188.6875,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,1.3480,1.3792,1.3887,0.7694,0.7581,0.7522,194.2368,194.2368,194.2368,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,1.0333,1.0790,1.0835,0.8133,0.7995,0.7968,270.4679,270.4679,270.4679,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,1.5165,1.5411,1.5519,0.7460,0.7352,0.7291,160.0952,160.0952,160.0952,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,1.5470,1.5699,1.5809,0.7410,0.7310,0.7245,152.9324,152.9324,152.9324,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,1.5356,1.5577,1.5687,0.7423,0.7348,0.7261,151.5345,151.5345,151.5345,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,1.2496,1.2815,1.2886,0.7817,0.7728,0.7667,197.7151,197.7151,197.7151,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.3385,1.3646,1.3736,0.7690,0.7613,0.7541,176.6481,176.6481,176.6481,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.6009,1.6145,1.6284,0.7323,0.7278,0.7177,132.2421,132.2421,132.2421,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.7940,1.8017,1.8163,0.6943,0.6897,0.6816,107.1703,107.1703,107.1703,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.9693,1.9732,1.9872,0.6600,0.6554,0.6496,88.0318,88.0318,88.0318,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,2.0344,2.0378,2.0501,0.6435,0.6372,0.6325,80.7457,80.7457,80.7457,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,2.3208,2.3209,2.3325,0.6024,0.5919,0.5863,58.0162,58.0162,58.0162,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.3240,2.3290,2.3393,0.5934,0.5816,0.5775,56.5179,56.5179,56.5179,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.4920,2.4953,2.5066,0.5572,0.5422,0.5373,45.4982,45.4982,45.4982,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.7557,2.7547,2.7681,0.5048,0.4936,0.4866,31.3855,31.3855,31.3855,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.9207,2.9158,2.9308,0.4599,0.4505,0.4427,23.8710,23.8710,23.8710,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.2093,3.1988,3.2155,0.3492,0.3435,0.3383,13.1748,13.1748,13.1748,15.0000,15.0000,15.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.3470,3.3368,3.3536,0.2869,0.2859,0.2823,8.9392,8.9392,8.9392,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.5176,3.5116,3.5269,0.2284,0.2260,0.2219,4.6502,4.6502,4.6502,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5911,3.5866,3.6010,0.1705,0.1677,0.1654,3.0483,3.0483,3.0483,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6554,3.6526,3.6645,0.1705,0.1677,0.1654,1.9650,1.9650,1.9650,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6736,3.6717,3.6826,0.1705,0.1677,0.1654,1.7564,1.7564,1.7564,15.0000,15.0000,15.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6728,3.6710,3.6818,0.1705,0.1677,0.1654,1.7217,1.7217,1.7217,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6899,3.6888,3.6986,0.1705,0.1677,0.1654,1.5501,1.5501,1.5501,15.0000,15.0000,15.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7265,3.7261,3.7342,0.1705,0.1677,0.1654,1.2604,1.2604,1.2604,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7517,3.7518,3.7589,0.1705,0.1677,0.1654,1.0879,1.0879,1.0879,14.0000,14.0000,14.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7894,3.7898,3.7954,0.1705,0.1677,0.1654,0.8724,0.8724,0.8724,15.0000,15.0000,15.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8471,3.8478,3.8516,0.1705,0.1677,0.1654,0.5938,0.5938,0.5938,15.0000,15.0000,15.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9505,3.9508,3.9519,0.1705,0.1677,0.1654,0.1868,0.1868,0.1868,14.0000,14.0000,14.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9867,3.9868,3.9871,0.1705,0.1677,0.1654,0.0683,0.0683,0.0683,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9977,3.9977,3.9978,0.1705,0.1677,0.1654,0.0317,0.0317,0.0317,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9993,3.9993,0.1705,0.1677,0.1654,0.0264,0.0264,0.0264,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.1691,0.1665,0.1636,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9997,0.1705,0.1677,0.1654,0.0261,0.0261,0.0261,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1533,0.1503,0.1499,0.0254,0.0254,0.0254,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1711,0.1712,0.1700,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9998,3.9998,3.9998,0.1705,0.1677,0.1654,0.0254,0.0254,0.0254,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.1194,0.1193,0.1150,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,4.0000,0.0751,0.0773,0.0742,0.0239,0.0239,0.0239,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.1278,0.1275,0.1256,0.0253,0.0253,0.0253,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1694,0.1669,0.1649,0.0243,0.0243,0.0243,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1703,0.1676,0.1653,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,3.9999,3.9999,3.9999,0.1387,0.1356,0.1372,0.0243,0.0243,0.0243,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0937,0.0930,0.0970,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0668,0.0621,0.0625,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,4.0000,4.0000,4.0000,0.0280,0.0240,0.0289,0.0242,0.0242,0.0242,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.0778,0.0750,0.0767,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
