run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.3889,0.4360,0.4325,0.9232,0.9137,0.9115,639.3566,639.3566,639.3566,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.5450,0.5842,0.5804,0.9070,0.8974,0.8956,389.4301,389.4301,389.4301,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.6446,0.6801,0.6763,0.8951,0.8849,0.8843,333.7551,333.7551,333.7551,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.6604,0.6953,0.6919,0.8950,0.8847,0.8848,320.9279,320.9279,320.9279,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.6376,0.6723,0.6707,0.9014,0.8929,0.8905,324.3440,324.3440,324.3440,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.7783,0.8086,0.8056,0.8843,0.8740,0.8741,270.7331,270.7331,270.7331,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.8344,0.8623,0.8596,0.8787,0.8671,0.8685,250.7783,250.7783,250.7783,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.8895,0.9150,0.9125,0.8715,0.8602,0.8617,232.9723,232.9723,232.9723,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.9132,0.9359,0.9350,0.8678,0.8595,0.8580,223.9650,223.9650,223.9650,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,1.0150,1.0321,1.0332,0.8511,0.8440,0.8415,199.0509,199.0509,199.0509,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,1.1606,1.1700,1.1757,0.8303,0.8248,0.8206,170.0981,170.0981,170.0981,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.3126,1.3169,1.3235,0.8043,0.7989,0.7961,145.6078,145.6078,145.6078,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.4837,1.4850,1.4911,0.7687,0.7631,0.7604,123.0432,123.0432,123.0432,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.6177,1.6165,1.6221,0.7403,0.7342,0.7345,107.4509,107.4509,107.4509,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.8707,1.8685,1.8733,0.6884,0.6815,0.6819,84.2121,84.2121,84.2121,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,2.0488,2.0479,2.0529,0.6610,0.6522,0.6491,69.8246,69.8246,69.8246,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,2.2720,2.2716,2.2783,0.6143,0.5994,0.5954,54.8165,54.8165,54.8165,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.5348,2.5331,2.5411,0.5747,0.5582,0.5568,40.4640,40.4640,40.4640,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.7814,2.7768,2.7878,0.5325,0.5171,0.5138,28.9562,28.9562,28.9562,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,3.1098,3.1001,3.1138,0.4195,0.4114,0.4095,16.8445,16.8445,16.8445,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.3218,3.3107,3.3262,0.3158,0.3136,0.3111,9.9697,9.9697,9.9697,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.5106,3.5039,3.5195,0.2191,0.2132,0.2108,4.8975,4.8975,4.8975,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.6032,3.5982,3.6123,0.1705,0.1677,0.1654,2.8918,2.8918,2.8918,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6451,3.6414,3.6542,0.1705,0.1677,0.1654,2.1078,2.1078,2.1078,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6664,3.6639,3.6753,0.1705,0.1677,0.1654,1.8240,1.8240,1.8240,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6899,3.6883,3.6985,0.1705,0.1677,0.1654,1.5887,1.5887,1.5887,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6982,3.6969,3.7066,0.1705,0.1677,0.1654,1.4926,1.4926,1.4926,15.0000,15.0000,15.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7290,3.7285,3.7368,0.1705,0.1677,0.1654,1.2532,1.2532,1.2532,15.0000,15.0000,15.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7540,3.7540,3.7611,0.1705,0.1677,0.1654,1.0825,1.0825,1.0825,16.0000,16.0000,16.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7912,3.7916,3.7973,0.1705,0.1677,0.1654,0.8702,0.8702,0.8702,16.0000,16.0000,16.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8497,3.8503,3.8541,0.1705,0.1677,0.1654,0.5886,0.5886,0.5886,16.0000,16.0000,16.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9462,3.9465,3.9478,0.1705,0.1677,0.1654,0.2020,0.2020,0.2020,13.0000,13.0000,13.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9872,3.9873,3.9876,0.1705,0.1677,0.1654,0.0668,0.0668,0.0668,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9980,3.9980,3.9980,0.1705,0.1677,0.1654,0.0312,0.0312,0.0312,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9993,3.9993,0.1705,0.1677,0.1654,0.0260,0.0260,0.0260,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.1502,0.1439,0.1439,0.0254,0.0254,0.0254,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9997,3.9997,0.1705,0.1677,0.1654,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1812,0.1812,0.1781,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1706,0.1690,0.1681,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9999,3.9999,3.9999,0.1703,0.1677,0.1653,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.1181,0.1205,0.1176,0.0243,0.0243,0.0243,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.0833,0.0952,0.0934,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.1532,0.1552,0.1503,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1704,0.1676,0.1651,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,4.0000,0.1679,0.1666,0.1635,0.0252,0.0252,0.0252,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,4.0000,4.0000,4.0000,0.1417,0.1414,0.1376,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0845,0.0906,0.0938,0.0249,0.0249,0.0249,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0591,0.0559,0.0606,0.0247,0.0247,0.0247,16.0000,16.0000,16.0000
