run,hidden_size,nlayers,dropout,embedding_size,alpha,max_rank,shuffle_labels,shuffle_input,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,train_norm,dev_norm,test_norm,train_rank,dev_rank,test_rank
0,776,0,0.15,768,0.0,1,False,False,0.2413,0.4528,0.4619,0.9569,0.9059,0.9025,579.8022,579.8022,579.8022,16.0000,16.0000,16.0000
1,433,2,0.27,768,0.0009765625,1,False,False,0.3785,0.5805,0.5937,0.9410,0.8963,0.8911,348.5983,348.5983,348.5983,16.0000,16.0000,16.0000
2,310,5,0.5,768,0.0011782270808598852,1,False,False,0.4379,0.6345,0.6468,0.9317,0.8882,0.8842,315.2786,315.2786,315.2786,16.0000,16.0000,16.0000
3,300,1,0.44,768,0.001421536311369323,1,False,False,0.4432,0.6417,0.6551,0.9326,0.8889,0.8849,306.7115,306.7115,306.7115,16.0000,16.0000,16.0000
4,1009,2,0.1,768,0.0017150900003645502,2,False,False,0.4509,0.6519,0.6664,0.9357,0.8919,0.8863,297.3741,297.3741,297.3741,16.0000,16.0000,16.0000
5,657,3,0.5,768,0.0020692638561704995,2,False,False,0.5404,0.7350,0.7485,0.9231,0.8791,0.8738,262.5480,262.5480,262.5480,16.0000,16.0000,16.0000
6,455,2,0.49,768,0.0024965762178914648,2,False,False,0.5779,0.7712,0.7853,0.9197,0.8764,0.8700,246.7384,246.7384,246.7384,16.0000,16.0000,16.0000
7,103,1,0.44,768,0.0030121305183748843,3,False,False,0.6460,0.8386,0.8542,0.9132,0.8705,0.8630,225.6574,225.6574,225.6574,16.0000,16.0000,16.0000
8,203,4,0.05,768,0.003634149117781824,3,False,False,0.6795,0.8713,0.8898,0.9110,0.8677,0.8608,213.7707,213.7707,213.7707,16.0000,16.0000,16.0000
9,150,4,0.02,768,0.004384617376208487,3,False,False,0.7630,0.9512,0.9747,0.9022,0.8600,0.8522,192.6774,192.6774,192.6774,16.0000,16.0000,16.0000
10,72,3,0.23,768,0.005290060730222237,4,False,False,0.8788,1.0611,1.0839,0.8871,0.8475,0.8405,169.7505,169.7505,169.7505,16.0000,16.0000,16.0000
11,467,3,0.31,768,0.006382482239223045,4,False,False,1.0036,1.1804,1.2017,0.8734,0.8357,0.8288,149.4665,149.4665,149.4665,16.0000,16.0000,16.0000
12,377,0,0.37,768,0.007700493739376462,4,False,False,1.1535,1.3247,1.3441,0.8515,0.8159,0.8108,129.5979,129.5979,129.5979,16.0000,16.0000,16.0000
13,436,2,0.25,768,0.009290680585958758,5,False,False,1.2870,1.4542,1.4726,0.8229,0.7880,0.7810,113.7960,113.7960,113.7960,16.0000,16.0000,16.0000
14,382,2,0.41000000000000003,768,0.011209248221179687,5,False,False,1.5154,1.6772,1.6933,0.7840,0.7536,0.7485,92.8638,92.8638,92.8638,16.0000,16.0000,16.0000
15,326,3,0.09,768,0.013524008765720979,5,False,False,1.6893,1.8470,1.8615,0.7370,0.7120,0.7083,78.6926,78.6926,78.6926,16.0000,16.0000,16.0000
16,326,2,0.02,768,0.01631677785042834,6,False,False,1.9382,2.0940,2.1052,0.6858,0.6631,0.6628,62.0953,62.0953,62.0953,16.0000,16.0000,16.0000
17,247,2,0.15,768,0.01968626640460739,6,False,False,2.1914,2.3511,2.3597,0.6179,0.5818,0.5849,48.0740,48.0740,48.0740,16.0000,16.0000,16.0000
18,179,1,0.01,768,0.02375156961170491,6,False,False,2.4406,2.5922,2.5993,0.5714,0.5303,0.5380,36.7792,36.7792,36.7792,16.0000,16.0000,16.0000
19,137,5,0.3,768,0.028656376350145975,7,False,False,2.7495,2.8786,2.8861,0.4857,0.4574,0.4571,25.1320,25.1320,25.1320,16.0000,16.0000,16.0000
20,786,2,0.24,768,0.03457404790277603,7,False,False,3.0594,3.1556,3.1648,0.3959,0.3868,0.3845,15.3872,15.3872,15.3872,16.0000,16.0000,16.0000
21,410,1,0.49,768,0.04171374544281356,7,False,False,3.3361,3.3992,3.4085,0.3424,0.3408,0.3392,8.2423,8.2423,8.2423,16.0000,16.0000,16.0000
22,388,0,0.48,768,0.050327822873414196,8,False,False,3.5526,3.5918,3.6006,0.2077,0.2153,0.2148,3.4608,3.4608,3.4608,16.0000,16.0000,16.0000
23,38,2,0.4,768,0.06072074632210035,8,False,False,3.6098,3.6443,3.6523,0.1631,0.1677,0.1654,2.3665,2.3665,2.3665,16.0000,16.0000,16.0000
24,467,2,0.11,768,0.07325985555120318,8,False,False,3.6337,3.6655,3.6724,0.1631,0.1677,0.1654,2.0436,2.0436,2.0436,16.0000,16.0000,16.0000
25,176,4,0.05,768,0.08838834764831845,9,False,False,3.6605,3.6898,3.6957,0.1631,0.1677,0.1654,1.7659,1.7659,1.7659,16.0000,16.0000,16.0000
26,57,4,0.0,768,0.10664094190766783,9,False,False,3.6641,3.6915,3.6971,0.1631,0.1677,0.1654,1.7126,1.7126,1.7126,15.0000,15.0000,15.0000
27,968,3,0.22,768,0.12866277958043645,9,False,False,3.7095,3.7329,3.7373,0.1631,0.1677,0.1654,1.3571,1.3571,1.3571,16.0000,16.0000,16.0000
28,268,4,0.37,768,0.15523222650918542,10,False,False,3.7409,3.7608,3.7645,0.1631,0.1677,0.1654,1.1472,1.1472,1.1472,16.0000,16.0000,16.0000
29,270,0,0.04,768,0.18728838460958516,10,False,False,3.7818,3.7974,3.8004,0.1631,0.1677,0.1654,0.9152,0.9152,0.9152,16.0000,16.0000,16.0000
30,596,0,0.43,768,0.22596428459777515,10,False,False,3.8482,3.8585,3.8604,0.1631,0.1677,0.1654,0.5987,0.5987,0.5987,16.0000,16.0000,16.0000
31,694,3,0.18,768,0.2726269331663144,11,False,False,3.9491,3.9525,3.9530,0.1631,0.1677,0.1654,0.1961,0.1961,0.1961,14.0000,14.0000,14.0000
32,837,4,0.09,768,0.32892563008340914,11,False,False,3.9874,3.9881,3.9882,0.1631,0.1677,0.1654,0.0661,0.0661,0.0661,16.0000,16.0000,16.0000
33,487,0,0.14,768,0.39685026299204973,11,False,False,3.9986,3.9987,3.9987,0.1631,0.1677,0.1654,0.0284,0.0284,0.0284,16.0000,16.0000,16.0000
34,418,5,0.37,768,0.47880164034928685,12,False,False,3.9993,3.9994,3.9994,0.1631,0.1677,0.1654,0.0259,0.0259,0.0259,16.0000,16.0000,16.0000
35,407,5,0.35000000000000003,768,0.577676348436136,12,False,False,3.9997,3.9997,3.9997,0.1497,0.1400,0.1426,0.0257,0.0257,0.0257,16.0000,16.0000,16.0000
36,657,2,0.11,768,0.6969691317244994,12,False,False,3.9997,3.9998,3.9998,0.1631,0.1677,0.1654,0.0250,0.0250,0.0250,16.0000,16.0000,16.0000
37,442,1,0.41000000000000003,768,0.8408964152537145,13,False,False,3.9998,3.9998,3.9998,0.1579,0.1581,0.1618,0.0254,0.0254,0.0254,16.0000,16.0000,16.0000
38,398,4,0.23,768,1.0145453349375229,13,False,False,3.9998,3.9998,3.9998,0.1580,0.1625,0.1611,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
39,369,4,0.29,768,1.2240535433046547,13,False,False,3.9999,3.9999,3.9999,0.1807,0.1876,0.1869,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
40,75,4,0.33,768,1.4768261459394993,14,False,False,3.9999,3.9999,3.9999,0.1070,0.0783,0.0772,0.0251,0.0251,0.0251,16.0000,16.0000,16.0000
41,179,0,0.02,768,1.7817974362806772,14,False,False,3.9999,3.9999,3.9999,0.1147,0.1153,0.1158,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
42,442,4,0.19,768,2.149746679841392,14,False,False,3.9999,3.9999,3.9999,0.1498,0.1444,0.1463,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
43,111,1,0.22,768,2.5936791093020193,15,False,False,3.9999,3.9999,3.9999,0.1632,0.1678,0.1652,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
44,242,1,0.45,768,3.1292855968155457,15,False,False,3.9999,3.9999,3.9999,0.1654,0.1682,0.1624,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
45,107,3,0.21,768,3.7754972507267723,15,False,False,4.0000,4.0000,4.0000,0.0854,0.0801,0.0757,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
46,150,2,0.2,768,4.555154539026766,16,False,False,4.0000,4.0000,4.0000,0.0512,0.0490,0.0472,0.0244,0.0244,0.0244,16.0000,16.0000,16.0000
47,38,1,0.2,768,5.495814589832352,16,False,False,4.0000,4.0000,4.0000,0.0427,0.0386,0.0377,0.0246,0.0246,0.0246,16.0000,16.0000,16.0000
48,248,1,0.49,768,6.6307252030723465,16,False,False,4.0000,4.0000,4.0000,0.0869,0.0733,0.0735,0.0245,0.0245,0.0245,16.0000,16.0000,16.0000
49,670,0,0.45,768,8.0,16,False,False,4.0000,4.0000,4.0000,0.0838,0.0781,0.0799,0.0248,0.0248,0.0248,16.0000,16.0000,16.0000
